interview__keyDoublon;idExploitDoublon;numAffectationDoublon;comment;interview__key;idExploit;numAffectation;Valide;TODO
15-65-85-74;C1473;25223;;63-86-58-57;X2840;21234;;
56-11-86-73;C1497;21310;;63-86-58-57;X2840;21234;;
51-46-73-41;C418;21328;;63-86-58-57;X2840;21234;;
08-61-41-88;C1606;22106;;22-61-31-65;X2856;21343;;
23-82-98-52;C1274;23043;;23-20-95-71;X341;19447;;
38-53-37-22;P1322;23196;;55-41-66-31;X3421;23392;;
97-43-80-87;C718;19715;;18-78-28-18;X4492;19697;;
01-27-22-26;C1601;21828;;27-26-35-87;X5082;21818;;
19-69-84-42;C614;25437;;82-81-70-92;X5627;24045;;
19-31-01-25;C100;20682;;33-23-52-51;X5807;24774;;
21-22-91-12;C95;20925;;15-37-76-25;X652;20657;;
81-38-53-07;P7980;25404;;75-10-75-27;X7978;25415;;
60-22-87-66;P7937;25271;;23-69-26-18;X8126;23946;;
06-18-38-02;C347;19358;;09-45-01-22;C343;19319;;
08-90-35-60;P4060;18207;déjà recensé par l’agent enquêtrice Vaitiare ;;;;;Trouver un des identifiants de l'exploitant interrog�
98-13-23-96;P7975;25411;;08-54-87-30;M10326;25400;;
84-57-96-35;C396;21062;;79-76-79-21;C149;22359;;
01-39-82-95;C1604;21887;;72-15-56-45;C808;21876;;
05-99-42-12;P8476;22455;;23-51-97-93;C472;22498;non;
17-61-99-14;C570;24553;;16-88-73-05;P3664;24037;OK;
