culture_id;CultureRGA;idSeuilRGA;LibelleSeuilRGA;;;;;;;;;;;;;;;;;;
208;Tarua;3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
209;Uru;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
210;Autres;3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
301;Abiu;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
302;Ananas;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
303;Avocatier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
304;Banane dessert;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
305;Carambolier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
306;Citronnier ou Lime (citron vert);5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
307;Grand cocotier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
308;Cocotier nain;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
309;Cocotier hybride;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
310;Corossolier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
311;Durian;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
312;Figuier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
313;Passiflore (fruit de la passion);5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
314;Goyavier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
315;Litchi;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
316;Longane;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
317;Mandarinier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
318;Mangoustanier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
319;Manguier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
320;Mape;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
321;Oranger;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
322;Pamplemoussier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
323;Papayer;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
324;Pitaya;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
325;Pommier-cannelle;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
326;Pommier-étoile;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
327;Ramboutan;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
328;Raisin de table;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
329;Raisin de cuve;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
330;Autres agrumes (clémentine, pomelo, ...);5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
331;Divers cultures fruitières;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
332;Bois d'oeuvre;;;;;;;;;;;;;;;;;;;;
401;Alpinia (opuhi);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
402;Anthurium - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
403;Anthurium - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
404;Anthurium - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
405;Chrysanthème - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
406;Chrysanthème - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
407;Chrysanthème - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
408;Feuillage (cordyline, croton, aglaonema, misère...) - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
409;Feuillage (cordyline, croton, aglaonema, misère...) - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
410;Feuillage (cordyline, croton, aglaonema, misère...) - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
411;Gerbera - plein champ;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
412;Gerbera - sous ombrière;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
413;Gerbera - sous serre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
414;Héliconia;7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
